,,,,,Coppa Front Bar,,Coppa Cellar,,Coppa Corridor,,Coppa Cage,,Sub Totals,,Events Front Bar,,Events Cellar,,Events Cage,,Events Back Room,,Events Pantry,,Events Blue Cupboard,,Sub Totals,,Cafe Front Bar,,Room 1,,Sub Totals,,Lobster Front Bar,,Lobster Shed,,Sub Totals,,Totals,
Stock Type,Category,Sub Category,Pack Volume,Brand ,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles,Fulls,Singles
220671,Hot drinks,Tea - Speciality,6 x 20 each [6],Harneys Premium English Breakfast,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
220629,Hot drinks,Tea - Speciality,6 x 20 each [6],Harneys Premium Red Raspberry,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
249110,Hot drinks,Tea - Speciality,6 x 20 x 1 pack [120],Japanese  Sencha - Japanese Sencha,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
200954,Hot drinks,Tea - Speciality,1 x 500 g  [1],Matcha Green Tea Powder,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
5322355,Hot drinks,Tea - Speciality,6 x 20 x 1 pack [120],Peppermint Tea,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
928080,Hot drinks,Tea - Speciality,6 x 20 x 1 Box [120],PREM ENGLISH BREAKFAST 6X20,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
198018,Low/No alcohol,Juices and Health Drinks,24 x 250 ml [24],Trip CBD Infused Drink w/ Adaptogens - Peach & Ginger,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
213262,Low/No alcohol,Liqueurs & Other,24 x 175 ml [24],Crodino Aperitivo - 0% - 1965,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
212792,Milks,Fresh Milk (Chilled),4 x 2 ltr [4],Milk Semi Skimmed - Red Tractor,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
198174,Milks,Fresh Milk (Chilled),4 x 2ltr [4],Milk Skimmed,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
,Milks,Fresh Milk (Chilled),4 x 2 ltr [4],Milk Whole,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
2254370,Milks,Milk Drinks,12 x 1 ltr [12],Alpro - Milk Soya,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
1717994,Milks,Milk Drinks,8 x 1 ltr [8],Alpro Almond Milk - Unsweetened,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
,Milks,Milk Drinks,6 x 1 ltr [6],OATLY Foamable,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
7029515,Soft Drinks,Carbonated Drinks,24 x 200 ml [24],Coca Cola Coca Cola,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
7029519,Soft Drinks,Carbonated Drinks,1 x 24 x 330ml [24],Coca Cola Coca Cola - Can,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
4445637,Soft Drinks,Carbonated Drinks,24 x 330 ml [24],Coca Cola Coca Cola - NRB,,,,,,,,,0.00,0.00,,,,,,,,,,,,,0.00,0.00,,,,,0.00,0.00,,,,,0.00,0.00,0.00,0.00
